City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,247.59,75,0,7.0,RU,1702407831
1,princeville,45.7668,-61.2985,276.29,73,20,6.17,CA,1702407831
2,stjordalshalsen,63.4681,10.9262,267.55,86,0,4.12,NO,1702407831
3,ilulissat,69.2167,-51.1,262.44,89,100,2.48,GL,1702407831
4,punta arenas,-53.15,-70.9167,285.16,58,75,13.89,CL,1702407688
5,ribeira grande,38.5167,-28.7,288.37,55,40,5.81,PT,1702407832
6,piacabucu,-10.4056,-36.4344,301.54,65,6,5.07,BR,1702407832
7,thompson,55.7435,-97.8558,257.24,72,100,4.12,CA,1702407832
8,hermanus,-34.4187,19.2345,288.98,61,18,4.2,ZA,1702407832
9,chak azam sahu,30.75,73.0333,287.09,29,0,2.49,PK,1702407832
10,port alfred,-33.5906,26.891,288.81,94,100,3.05,ZA,1702407833
11,westport,41.1415,-73.3579,280.48,52,0,6.26,US,1702407675
12,mount isa,-20.7333,139.5,301.02,65,100,2.57,AU,1702407833
13,zolochiv,49.806,24.8944,274.79,100,100,3.18,UA,1702407833
14,uige,-7.6087,15.0613,292.57,97,100,0.45,AO,1702407833
15,enewetak,11.3474,162.3373,300.89,78,82,9.09,MH,1702407833
16,fada,9.5667,8.3,293.04,21,0,2.91,NG,1702407833
17,papatowai,-46.5619,169.4708,282.26,83,100,5.25,NZ,1702407833
18,adamstown,-25.066,-130.1015,294.18,90,100,4.2,PN,1702407834
19,revda,56.801,59.9303,249.43,88,100,1.63,RU,1702407564
20,lebu,-37.6167,-73.65,287.53,68,0,9.78,CL,1702407834
21,olonkinbyen,70.9221,-8.7187,270.71,65,33,6.14,SJ,1702407834
22,invercargill,-46.4,168.35,283.17,92,100,5.64,NZ,1702407834
23,port-aux-francais,-49.35,70.2167,278.42,90,87,9.05,TF,1702407834
24,chonchi,-42.6128,-73.8092,288.71,55,76,1.43,CL,1702407834
25,fort william,56.8165,-5.1121,279.43,89,100,2.76,GB,1702407834
26,seneca,41.1167,-83.1166,280.91,64,11,7.27,US,1702407834
27,arraial do cabo,-22.9661,-42.0278,300.13,65,40,8.23,BR,1702407599
28,blackmans bay,-43.0167,147.3167,285.66,84,100,2.17,AU,1702407835
29,puerto natales,-51.7236,-72.4875,286.4,47,75,16.98,CL,1702407835
30,edinburgh of the seven seas,-37.0676,-12.3116,288.81,94,100,4.11,SH,1702407835
31,wotho,10.1657,166.0102,300.62,72,48,9.76,MH,1702407835
32,constantia,44.1833,28.65,277.53,83,10,4.34,RO,1702407835
33,clovis,36.8252,-119.7029,289.73,59,0,2.06,US,1702407618
34,port mathurin,-19.6833,63.4167,299.57,75,43,5.56,MU,1702407701
35,wailua homesteads,22.0669,-159.378,295.85,90,100,2.06,US,1702407835
36,grytviken,-54.2811,-36.5092,278.21,95,100,4.31,GS,1702407835
37,waitangi,-43.9535,-176.5597,284.16,85,100,2.68,NZ,1702407836
38,camayenne,9.535,-13.6878,304.2,70,0,4.12,GN,1702407836
39,rimouski,48.4488,-68.524,268.97,73,9,6.2,CA,1702407603
40,bethel,41.3712,-73.414,280.02,53,0,1.34,US,1702407650
